parameter,feature,importance
R_off,pp_delay_2000_time_to_peak1,0.003312886658297922
R_off,pp_delay_2000_time_to_peak2,0.004612770670468729
R_off,pp_delay_2000_auc1,0.012853696450103598
R_off,pp_delay_2000_auc2,0.006362853843852332
R_off,pp_delay_2000_peak_width1,0.01396874078616866
R_off,pp_delay_2000_peak_width2,0.012854244042333653
R_off,pp_delay_2000_peak_ratio,0.007057894336404862
R_off,pp_delay_2000_auc_ratio,0.02302583585237081
R_off,pp_delay_2000_latency_change,0.007326075160054112
R_off,pp_delay_2000_width_ratio,0.018277597412858154
R_off,pp_delay_2000_baseline_shift,0.01462197390334553
